pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma
TOI-216.02,TOI-216,TIC 55652896,0.1293,8.0,18.751876013,,5026.0,0.748,0.77,0.362,nan,K2V,0.001,0.1,1.23
TOI-5301 b,TOI-5301,TIC 58825110,0.073,13.09208946,1182.32167404,,6240.0,2.19,1.483,6.550,2.43,F7V,0.001,0.1,1.23
TOI-892 b,TOI-892,TIC 66561343,0.092,11.99363,301.9385,F,6261.0,1.39,1.28,2.700,2.2,F7V,0.001,0.1,1.23
TOI-6894 b,TOI-6894,TIC 67512645,0.02604,9.5836785,53.395172376,,3007.0,0.2276,0.207,0.004,nan,M5V,0.0001,0.6,1.23
TOI-2587 A b,TOI-2587 A,TIC 68007716,0.0635,12.07207221,69.286592726,,5760.0,1.726,1.15,2.960,6.7,G2V,0.001,0.1,1.23
TOI-5350 b,TOI-5350,TIC 68808155,0.0796,12.41955062,2094.48920213,,6220.0,1.263,1.167,2.160,3.1,F8V,0.001,0.1,1.23
TOI-5232 b,TOI-5232,TIC 69356857,0.05593,12.778238,743.71847238,,6500.0,1.785,1.389,5.160,2.37,F5V,0.001,0.1,1.23
TOI-2421 b,TOI-2421,TIC 70524163,0.0543,10.36830715,105.836859531,,5607.0,1.75,1.131,2.729,7.5,G6V,0.001,0.1,1.23
LP 714-47 b,LP 714-47,TIC 70899085,0.0417,4.7,30.8,M0.0 V,3950.0,0.584,0.59,0.075,nan,K9V,0.001,0.1,1.23
TOI-1723 b,TOI-1723,TIC 71431780,0.113496,3.435,10.4,,5777.0,1.09,1.04,1.160,4.8,G2V,0.001,0.1,1.23
HD 110113 b,HD 110113,TIC 73228647,0.035,2.05,4.55,G,5732.0,0.968,0.997,0.928,4.0,G3V,0.001,0.1,1.23
TOI-1853 b,TOI-1853,TIC 73540072,0.0213,3.46,73.2,K2.5 V,4985.0,0.808,0.837,0.370,nan,K2V,0.001,0.1,1.23
TOI-756 b,TOI-756,TIC 73649615,0.018,2.81,9.83,M1 V,3657.0,0.505,0.505,0.041,3.2,M1V,0.001,0.6,1.23
HD 35843 c,HD 35843,TIC 7422496,0.25,2.54,11.32,,5666.0,0.897,0.94,0.750,2.5,G5V,0.001,0.1,1.23
TOI-2583 A b,TOI-2583 A,TIC 7548817,0.0571,14.4595851,79.45710175,,5936.0,1.477,1.215,2.445,4.4,G0V,0.001,0.1,1.23
TOI-6628 b,TOI-6628,TIC 75650448,0.134,10.98480109,235.19302118,,5463.0,1.01,0.97,0.817,7.5,G8V,0.001,0.1,1.23
TOI-2134 b,TOI-2134,TIC 75878355,0.078,2.69,9.13,K5 V,4580.0,0.709,0.744,0.192,3.8,K4V,0.001,0.1,1.23
TOI-2134 c,TOI-2134,TIC 75878355,0.371,7.27,41.89,K5 V,4580.0,0.709,0.744,0.192,3.8,K4V,0.001,0.1,1.23
